timestamp_cam,timestamp_sensor,delta_t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,roll,pitch,yaw,image_path
1614007547.996533394,1614007547.991618395,0.004914999,-0.054541063,-0.017789572,0.143988267,-0.999777675,0.018020593,-0.006256673,0.008990357,-0.036156233,0.012186843,-0.018204571,rectified_img/44.png
1614007548.046757460,1614007548.022753954,0.024003506,-0.054612108,-0.017872013,0.144108966,-0.999762058,0.018634979,-0.006251654,0.009466033,-0.037390916,0.012147833,-0.019163148,rectified_img/45.png
1614007548.096328497,1614007548.095441103,0.000887394,-0.054696336,-0.017879434,0.144297302,-0.999749601,0.019244850,-0.006157558,0.009612612,-0.038610787,0.011942330,-0.019460029,rectified_img/46.png
1614007548.146837473,1614007548.128697872,0.018139601,-0.054615259,-0.017892677,0.144217432,-0.999756992,0.018861240,-0.006330376,0.009501523,-0.037845505,0.012299564,-0.019239868,rectified_img/47.png
1614007548.196364403,1614007548.195771217,0.000593185,-0.054657325,-0.017860472,0.144238323,-0.999757767,0.018863365,-0.006318812,0.009421777,-0.037848549,0.012279419,-0.019079974,rectified_img/48.png
1614007548.246661425,1614007548.231348515,0.015312910,-0.054556984,-0.017865885,0.144116357,-0.999765754,0.018464543,-0.006021054,0.009551698,-0.037046461,0.011686819,-0.019323796,rectified_img/49.png
1614007548.296427488,1614007548.295003414,0.001424074,-0.054628324,-0.017790683,0.144189984,-0.999759555,0.019045118,-0.006015746,0.009051651,-0.038201881,0.011684086,-0.018330367,rectified_img/50.png
1614007548.346334457,1614007548.334081411,0.012253046,-0.054679148,-0.017883159,0.144244820,-0.999753535,0.019021155,-0.006285559,0.009574195,-0.038165399,0.012204098,-0.019385446,rectified_img/51.png
1614007548.396561384,1614007548.392011642,0.004549742,-0.054628015,-0.017898627,0.144240975,-0.999754429,0.018990703,-0.006292680,0.009539908,-0.038104206,0.012220234,-0.019316778,rectified_img/52.png
1614007548.446525574,1614007548.436264515,0.010261059,-0.054707572,-0.017826840,0.144242555,-0.999754369,0.019211415,-0.006474690,0.008957313,-0.038541986,0.012602368,-0.018161443,rectified_img/53.png
1614007548.496243477,1614007548.495063305,0.001180172,-0.054695688,-0.017836399,0.144267142,-0.999755502,0.018976778,-0.006295037,0.009450035,-0.038075298,0.012228639,-0.019136967,rectified_img/54.png
1614007548.546353579,1614007548.536089897,0.010263681,-0.054624982,-0.017814379,0.144161522,-0.999764681,0.018614320,-0.006337424,0.009159977,-0.037347501,0.012331164,-0.018554051,rectified_img/55.png
1614007548.596388578,1614007548.589587212,0.006801367,-0.054583210,-0.017820492,0.144165471,-0.999765158,0.018590262,-0.006410031,0.009118329,-0.037300242,0.012478350,-0.018473192,rectified_img/56.png
1614007548.646378517,1614007548.642387152,0.003991365,-0.054591529,-0.017806455,0.144147515,-0.999759972,0.018884031,-0.006606656,0.008927238,-0.037889159,0.012873331,-0.018102200,rectified_img/57.png
1614007548.696488380,1614007548.694554806,0.001933575,-0.054606602,-0.017812714,0.144153878,-0.999764740,0.018630220,-0.006298497,0.009147708,-0.037378416,0.012253489,-0.018528248,rectified_img/58.png
1614007548.746410608,1614007548.742546320,0.003864288,-0.054537673,-0.017799824,0.144071355,-0.999771714,0.018307796,-0.006322951,0.009025838,-0.036732416,0.012312839,-0.018281478,rectified_img/59.png
1614007548.796409607,1614007548.794921160,0.001488447,-0.054656267,-0.017907128,0.144222274,-0.999755025,0.018975263,-0.006170336,0.009585688,-0.038071449,0.011974152,-0.019403455,rectified_img/60.png
1614007548.846510410,1614007548.841743708,0.004766703,-0.054566819,-0.017788354,0.144011587,-0.999776840,0.018043943,-0.006271919,0.009025114,-0.036203650,0.012215645,-0.018274920,rectified_img/61.png
1614007548.896505594,1614007548.894724369,0.001781225,-0.054522365,-0.017804693,0.144019142,-0.999778092,0.017971260,-0.006219941,0.009058459,-0.036057688,0.012111834,-0.018338830,rectified_img/62.png
1614007548.946447611,1614007548.946330786,0.000116825,-0.054587349,-0.017851468,0.144142479,-0.999764681,0.018474057,-0.006127837,0.009583843,-0.037067988,0.011898966,-0.019392176,rectified_img/63.png
1614007548.996332407,1614007548.990326643,0.006005764,-0.054663450,-0.017876603,0.144197613,-0.999755979,0.018879088,-0.006316182,0.009575721,-0.037881835,0.012268027,-0.019387929,rectified_img/64.png
1614007549.046492577,1614007549.041836500,0.004656076,-0.054641917,-0.017876573,0.144243151,-0.999753654,0.018961247,-0.006353870,0.009630623,-0.038047611,0.012339706,-0.019500177,rectified_img/65.png
1614007549.096330404,1614007549.094839573,0.001490831,-0.054626904,-0.017857555,0.144208863,-0.999756634,0.018863782,-0.006266577,0.009569277,-0.037850155,0.012169378,-0.019372965,rectified_img/66.png
1614007549.146474600,1614007549.144843817,0.001630783,-0.054628544,-0.017863233,0.144195408,-0.999759853,0.018930556,-0.006478522,0.008946453,-0.037980092,0.012615545,-0.018136331,rectified_img/67.png
1614007549.196570396,1614007549.194835424,0.001734972,-0.054674853,-0.017880946,0.144251391,-0.999753356,0.019000588,-0.006314364,0.009610908,-0.038125277,0.012260694,-0.019459719,rectified_img/68.png
1614007549.246440411,1614007549.244846821,0.001593590,-0.054542504,-0.017794456,0.144113719,-0.999769092,0.018422818,-0.006370530,0.009051105,-0.036963708,0.012404943,-0.018335194,rectified_img/69.png
1614007549.296513557,1614007549.291845083,0.004668474,-0.054667391,-0.017877951,0.144254178,-0.999751925,0.019063473,-0.006319582,0.009628929,-0.038251394,0.012269215,-0.019496730,rectified_img/70.png
1614007549.346533537,1614007549.344837666,0.001695871,-0.054635324,-0.017885879,0.144238502,-0.999752641,0.019034253,-0.006364277,0.009587091,-0.038193322,0.012360754,-0.019414421,rectified_img/71.png
1614007549.396355391,1614007549.395843267,0.000512123,-0.054600302,-0.017777611,0.144146875,-0.999764502,0.018789973,-0.006051856,0.009017542,-0.037691773,0.011762253,-0.018260543,rectified_img/72.png
1614007549.447084427,1614007549.445930243,0.001154184,-0.054638743,-0.017884664,0.144272044,-0.999754131,0.018968064,-0.006378822,0.009559153,-0.038060864,0.012392187,-0.019358288,rectified_img/73.png
1614007549.496567488,1614007549.494382620,0.002184868,-0.054657847,-0.017873939,0.144226283,-0.999755800,0.018884558,-0.006349103,0.009562048,-0.037893264,0.012334267,-0.019361909,rectified_img/74.png
1614007549.546491385,1614007549.544703484,0.001787901,-0.054565556,-0.017829061,0.144114912,-0.999766350,0.018463144,-0.006334349,0.009294453,-0.037046695,0.012322839,-0.018821007,rectified_img/75.png
1614007549.596398592,1614007549.595219374,0.001179218,-0.054616094,-0.017871987,0.144233286,-0.999756038,0.018844724,-0.006427823,0.009564311,-0.037815170,0.012492360,-0.019368939,rectified_img/76.png
1614007549.646451473,1614007549.645056248,0.001395226,-0.054516431,-0.017805707,0.144065961,-0.999771595,0.018318979,-0.006336291,0.009009146,-0.036754832,0.012339924,-0.018248728,rectified_img/77.png
1614007549.697304487,1614007549.694597960,0.002706528,-0.054596990,-0.017884925,0.144155428,-0.999760151,0.018709738,-0.006314619,0.009477727,-0.037541841,0.012271866,-0.019189820,rectified_img/78.png
1614007549.746464491,1614007549.741578102,0.004886389,-0.054634526,-0.017874889,0.144225016,-0.999756873,0.018828293,-0.006354989,0.009555629,-0.037780750,0.012347368,-0.019348602,rectified_img/79.png
1614007549.796498537,1614007549.794920683,0.001577854,-0.054688670,-0.017889932,0.144220725,-0.999754369,0.018976646,-0.006224347,0.009608654,-0.038075561,0.012081250,-0.019451469,rectified_img/80.png
1614007549.846544504,1614007549.841948748,0.004595757,-0.054537617,-0.017870747,0.144107819,-0.999762356,0.018632421,-0.006243888,0.009437395,-0.037385298,0.012133423,-0.019105551,rectified_img/81.png
1614007549.897136450,1614007549.896306992,0.000829458,-0.054667354,-0.017896820,0.144222960,-0.999755800,0.018914942,-0.006200580,0.009601844,-0.037951577,0.012035185,-0.019436198,rectified_img/82.png
